Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LIC,Low income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.72,..,..,..,..,..,..,..,..,..,0.72,..,..,..,..,..,..,..,..,..,..,..
LIE,Liechtenstein,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
LKA,Sri Lanka,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.87,..,..,..,..,..,..,..,..,..,3.87,..,..,..,..,..,..,..,..,..,..,..
LMC,Lower middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.7,..,..,..,..,..,..,..,..,..,1.73,..,..,..,..,..,..,..,..,..,..,..
LMY,Low & middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.34,..,..,..,..,..,..,..,..,..,1.61,..,..,..,..,..,..,..,..,..,..,..
LSO,Lesotho,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
LTU,Lithuania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.91,..,..,..,..,..,..,..,..,..,1.91,..,..,..,..,..,..,..,..,..,..,..
LUX,Luxembourg,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
LVA,Latvia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.03,..,..,..,..,..,..,..,..,..,3.03,..,..,..,..,..,..,..,..,..,..,..
MAC,"Macao SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,35.39,..,..,..,..,..,..,..,..,..,35.39,..,..,..,..,..,..,..,..,..,..,..
MAF,St. Martin (French part),AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAR,Morocco,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.7,..,..,..,..,..,..,..,..,..,0.7,..,..,..,..,..,..,..,..,..,..,..
MCO,Monaco,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,100,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..
MDA,Moldova,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.3,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,..,..,..,..,..,..
MDG,Madagascar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.34,..,..,..,..,..,..,..,..,..,1.34,..,..,..,..,..,..,..,..,..,..,..
MDV,Maldives,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,100,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..
MEX,Mexico,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.94,..,..,..,..,..,..,..,..,..,2.94,..,..,..,..,..,..,..,..,..,..,..
MHL,Marshall Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,99.02,..,..,..,..,..,..,..,..,..,99.02,..,..,..,..,..,..,..,..,..,..,..
MIC,Middle income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.49,..,..,..,..,..,..,..,..,..,1.77,..,..,..,..,..,..,..,..,..,..,..
MKD,"Macedonia, FYR",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
MLI,Mali,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
MLT,Malta,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,19.35,..,..,..,..,..,..,..,..,..,19.35,..,..,..,..,..,..,..,..,..,..,..
MMR,Myanmar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.56,..,..,..,..,..,..,..,..,..,4.56,..,..,..,..,..,..,..,..,..,..,..
MNA,Middle East & North Africa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.39,..,..,..,..,..,..,..,..,..,1.39,..,..,..,..,..,..,..,..,..,..,..
MNE,Montenegro,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
