year,state,month,number,date
2011,Amapa,sep,128,1/1/11
2012,Amapa,sep,168,1/1/12
2013,Amapa,sep,85,1/1/13
2014,Amapa,sep,137,1/1/14
2015,Amapa,sep,192,1/1/15
2016,Amapa,sep,142,1/1/16
2017,Amapa,sep,95,1/1/17
1998,Amapa,oct,42,1/1/98
1999,Amapa,oct,25,1/1/99
2000,Amapa,oct,42,1/1/00
2001,Amapa,oct,194,1/1/01
2002,Amapa,oct,557,1/1/02
2003,Amapa,oct,355,1/1/03
2004,Amapa,oct,412,1/1/04
2005,Amapa,oct,335,1/1/05
2006,Amapa,oct,405,1/1/06
2007,Amapa,oct,162,1/1/07
2008,Amapa,oct,395,1/1/08
2009,Amapa,oct,765,1/1/09
2010,Amapa,oct,265,1/1/10
2011,Amapa,oct,304,1/1/11
2012,Amapa,oct,475,1/1/12
2013,Amapa,oct,385,1/1/13
2014,Amapa,oct,480,1/1/14
2015,Amapa,oct,827,1/1/15
2016,Amapa,oct,793,1/1/16
2017,Amapa,oct,468,1/1/17
1998,Amapa,nov,131,1/1/98
1999,Amapa,nov,26,1/1/99
2000,Amapa,nov,157,1/1/00
2001,Amapa,nov,406,1/1/01
2002,Amapa,nov,1.096,1/1/02
2003,Amapa,nov,750,1/1/03
2004,Amapa,nov,949,1/1/04
2005,Amapa,nov,685,1/1/05
2006,Amapa,nov,207,1/1/06
2007,Amapa,nov,198,1/1/07
2008,Amapa,nov,266,1/1/08
2009,Amapa,nov,1.019,1/1/09
2010,Amapa,nov,339,1/1/10
2011,Amapa,nov,282,1/1/11
2012,Amapa,nov,969,1/1/12
2013,Amapa,nov,341,1/1/13
2014,Amapa,nov,484,1/1/14
2015,Amapa,nov,1.3,1/1/15
2016,Amapa,nov,1.161,1/1/16
2017,Amapa,nov,858,1/1/17
1998,Amapa,dec,84,1/1/98
1999,Amapa,dec,41,1/1/99
2000,Amapa,dec,30,1/1/00
2001,Amapa,dec,593,1/1/01
2002,Amapa,dec,200,1/1/02
2003,Amapa,dec,411,1/1/03
2004,Amapa,dec,777,1/1/04
2005,Amapa,dec,38,1/1/05
2006,Amapa,dec,74,1/1/06
2007,Amapa,dec,14,1/1/07
2008,Amapa,dec,32,1/1/08
2009,Amapa,dec,123,1/1/09
2010,Amapa,dec,43,1/1/10
2011,Amapa,dec,360,1/1/11
2012,Amapa,dec,422,1/1/12
2013,Amapa,dec,148,1/1/13
2014,Amapa,dec,354,1/1/14
2015,Amapa,dec,269,1/1/15
2016,Amapa,dec,491,1/1/16
1998,Amazonas,jan,0,1/1/98
1999,Amazonas,jan,3,1/1/99
2000,Amazonas,jan,7,1/1/00
2001,Amazonas,jan,3,1/1/01
2002,Amazonas,jan,17,1/1/02
2003,Amazonas,jan,158,1/1/03
2004,Amazonas,jan,123,1/1/04
2005,Amazonas,jan,44,1/1/05
2006,Amazonas,jan,20,1/1/06
2007,Amazonas,jan,37,1/1/07
2008,Amazonas,jan,16,1/1/08
2009,Amazonas,jan,9,1/1/09
2010,Amazonas,jan,82,1/1/10
2011,Amazonas,jan,53,1/1/11
2012,Amazonas,jan,6,1/1/12
